link,area,quartos,vagas,banheiros,local,valor
https://sp.olx.com.br/grande-campinas/imoveis/seu-novo-lar-1336949486,200 metros quadrados,3 quartos,4 vagas de garagem,4 banheiros,R$ 11.000,Campinas -  SP
https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/imoveis/casa-em-condominio-urbanova-residencial-alphaville-ii-5-dormitorios-430m-aceita-1336949403,430 metros quadrados,4 quartos,2 vagas de garagem,5 ou mais banheiros,R$ 27.500,São José dos Campos -  SP
https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/imoveis/casa-em-vila-mauriceia-1336949294,170 metros quadrados,3 quartos,5 ou mais vagas de garagem,4 banheiros,R$ 3.800,Montes Claros -  MG
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/casa-para-locacao-1-quarto-em-jardim-guaiba-sorocaba-sp-1336949118,172 metros quadrados,,3 vagas de garagem,,R$ 1.400,Sorocaba -  SP
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-para-aluguel-2-quarto-s-vila-ema-sao-paulo-ca803-1336949089,60 metros quadrados,2 quartos,,,R$ 1.700,São Paulo -  SP
https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-casa-quadra-214-conjunto-m-santa-maria-norte-1336948987,,4 quartos,3 vagas de garagem,2 banheiros,R$ 1.610,Brasília -  DF
https://rj.olx.com.br/norte-do-estado-do-rio/imoveis/casa-para-locacao-2-suites-1336948861,,2 quartos,1 vaga de garagem,3 banheiros,R$ 2.000,Rio das Ostras -  RJ
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/casa-para-locacao-bairro-cidade-jardim-01-quarto-valor-r-900-00-1336948770,32 metros quadrados,,1 vaga de garagem,,R$ 900,Sorocaba -  SP
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-alugar-cidade-2000-1336948685,45 metros quadrados,2 quartos,,,R$ 850,Fortaleza -  CE
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-para-aluguel-1-dormitorio-e-cozinha-parque-sao-lucas-sao-paulo-ca778-1336948603,40 metros quadrados,,,,R$ 850,São Paulo -  SP
https://mt.olx.com.br/regiao-de-cuiaba/imoveis/aluguel-condominio-rio-jangada-mobiliado-cuiaba-mt-1336948529,55 metros quadrados,2 quartos,2 vagas de garagem,,R$ 3.000,Cuiabá -  MT
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-para-locacao-na-zona-leste-1336948517,60 metros quadrados,2 quartos,,2 banheiros,R$ 1.750,São Paulo -  SP
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/aluga-se-2-comodos-nos-fundos-1336948501,,,,,R$ 700,Sorocaba -  SP
https://pe.olx.com.br/grande-recife/imoveis/aluga-se-casa-em-ponte-dos-carvalhos-1336948469,,3 quartos,1 vaga de garagem,2 banheiros,R$ 550,Cabo de Santo Agostinho -  PE
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/casa-de-vila-em-jardim-toledo-pet-friendly-1336948463,123 metros quadrados,3 quartos,2 vagas de garagem,,R$ 2.100,Votorantim -  SP
https://pe.olx.com.br/grande-recife/imoveis/casa-final-de-semana-forte-orange-itamaraca-450-00-reais-1323213457,,2 quartos,2 vagas de garagem,2 banheiros,R$ 450,Ilha de Itamaracá -  PE
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/casa-de-luxo-para-aluguel-em-ibiti-royal-park-1336948321,300 metros quadrados,4 quartos,2 vagas de garagem,5 ou mais banheiros,R$ 11.000,Sorocaba -  SP
https://pe.olx.com.br/grande-recife/imoveis/casa-para-alugar-em-vitoria-pe-1336948296,160 metros quadrados,3 quartos,1 vaga de garagem,2 banheiros,R$ 1.200,Vitória de Santo Antão -  PE
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-para-aluguel-e-venda-com-105-metros-quadrados-com-2-quartos-1336948197,217 metros quadrados,2 quartos,2 vagas de garagem,3 banheiros,R$ 1.250,Fortaleza -  CE
https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-em-colonia-1336948155,50 metros quadrados,2 quartos,,,R$ 700,Uberlândia -  MG
https://rr.olx.com.br/roraima/imoveis/casa-no-canarinho-1336947673,130 metros quadrados,2 quartos,2 vagas de garagem,2 banheiros,R$ 4.500,Boa Vista -  RR
https://pb.olx.com.br/paraiba/imoveis/casa-para-alugar-em-jacuma-1336947665,350 metros quadrados,3 quartos,4 vagas de garagem,3 banheiros,R$ 800,Conde -  PB
https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/alto-paraiso-1336947463,150 metros quadrados,3 quartos,2 vagas de garagem,,R$ 1.050,Bauru -  SP
https://rn.olx.com.br/rio-grande-do-norte/imoveis/grande-casa-duplex-maravilhosa-7-quartos-2-500m2-av-integracao-pronta-para-morar-1336947451,2500 metros quadrados,5 ou mais quartos,5 ou mais vagas de garagem,5 ou mais banheiros,R$ 16.000,Natal -  RN
https://rn.olx.com.br/rio-grande-do-norte/imoveis/magnifica-casa-duplex-alto-padrao-4-suites-com-closet-400m2-sombra-alphaville-catua-1336947346,400 metros quadrados,4 quartos,2 vagas de garagem,5 ou mais banheiros,R$ 12.000,Parnamirim -  RN
https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluga-se-kitnet-1336947247,50 metros quadrados,,1 vaga de garagem,,R$ 1.300,Vila Velha -  ES
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/ca0201-linda-casa-duplex-no-condominio-floresta-country-club-1015154957,70 metros quadrados,2 quartos,1 vaga de garagem,2 banheiros,R$ 280.000,Rio de Janeiro -  RJ
https://ma.olx.com.br/regiao-de-sao-luis/imoveis/aluguel-1336945846,,2 quartos,,,R$ 700,São Luís -  MA
https://pa.olx.com.br/regiao-de-belem/imoveis/casa-na-barao-do-triunfo-1336945750,,3 quartos,1 vaga de garagem,2 banheiros,R$ 2.500,Belém -  PA
https://rr.olx.com.br/roraima/imoveis/aluga-se-casa-no-bairro-dos-estados-1335409700,100 metros quadrados,2 quartos,1 vaga de garagem,2 banheiros,R$ 2.500,Boa Vista -  RR
https://al.olx.com.br/alagoas/imoveis/alugasse-duas-casas-no-jacintinho-1336945514,,2 quartos,,,R$ 500,Maceió -  AL
https://ba.olx.com.br/sul-da-bahia/imoveis/casa-aluguel-nelson-costa-1336945363,,2 quartos,,,R$ 850,Ilhéus -  BA
https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-terrea-com-178-m-com-3-quartos-a-venda-ribeirania-1336945265,178 metros quadrados,3 quartos,3 vagas de garagem,4 banheiros,R$ 5.600,Ribeirão Preto -  SP
https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-323m-com-04-quartos-sendo-01-suite-para-locacao-e-venda-alto-da-boa-vista-1336945260,324 metros quadrados,4 quartos,2 vagas de garagem,3 banheiros,R$ 2.500,Ribeirão Preto -  SP
https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-terrea-de-160m-com-03-quartos-real-sul-1336945252,160 metros quadrados,3 quartos,4 vagas de garagem,3 banheiros,R$ 7.200,Ribeirão Preto -  SP
https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-261m-com-03-quartos-para-locacao-alto-da-boa-vista-1336945247,261 metros quadrados,3 quartos,3 vagas de garagem,4 banheiros,R$ 6.000,Ribeirão Preto -  SP
https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-terrea-de-141m-com-03-quartos-para-locacao-dom-bernardo-jose-mielle-1336945242,142 metros quadrados,3 quartos,2 vagas de garagem,2 banheiros,R$ 2.400,Ribeirão Preto -  SP
https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-288m-com-03-suites-para-locacao-e-venda-em-condominio-residencial-e-empresarial-1336945191,288 metros quadrados,3 quartos,4 vagas de garagem,5 ou mais banheiros,R$ 17.000,Ribeirão Preto -  SP
https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-terrea-de-150m-em-condominio-fechado-recreio-das-acacias-1336945185,150 metros quadrados,3 quartos,4 vagas de garagem,4 banheiros,R$ 6.500,Ribeirão Preto -  SP
https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-159-m-com-03-quartos-para-locacao-e-venda-centro-1336945173,159 metros quadrados,3 quartos,5 ou mais vagas de garagem,2 banheiros,R$ 3.500,Ribeirão Preto -  SP
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sobrado-com-3-dormitorios-360-m-venda-por-r-3-080-000-00-ou-aluguel-por-r-18-690-00-1336945165,360 metros quadrados,3 quartos,5 ou mais vagas de garagem,5 ou mais banheiros,R$ 18.000,Santo André -  SP
https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-66m-com-01-suite-para-locacao-e-venda-bairro-vila-virginia-1336945167,67 metros quadrados,,1 vaga de garagem,2 banheiros,R$ 900,Ribeirão Preto -  SP
https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-02-quartos-para-locacao-vila-tiberio-1336945164,60 metros quadrados,2 quartos,,,R$ 850,Ribeirão Preto -  SP
https://ms.olx.com.br/mato-grosso-do-sul/imoveis/alugamos-kitnets-novas-sem-burocracia-em-campo-grande-pioneiro-1326091517,27 metros quadrados,,1 vaga de garagem,,R$ 750,Campo Grande -  MS
https://pe.olx.com.br/grande-recife/imoveis/alugo-casa-c-3qts-4km-de-porto-de-galinhas-cupe-marupiara-1295333734,100 metros quadrados,3 quartos,1 vaga de garagem,2 banheiros,R$ 2.300,Ipojuca -  PE
https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/vendo-ou-alugo-casa-1333708642,450 metros quadrados,2 quartos,,,R$ 350,Conselheiro Pena -  MG
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/casa-alugo-1335392341,400 metros quadrados,4 quartos,5 ou mais vagas de garagem,3 banheiros,R$ 2.800,São José da Lapa -  MG
https://mt.olx.com.br/regiao-de-cuiaba/imoveis/aluguel-condominio-rio-jangada-cuiaba-mt-1336945155,55 metros quadrados,2 quartos,2 vagas de garagem,,R$ 1.500,Cuiabá -  MT
https://to.olx.com.br/tocantins/imoveis/casa-em-condominio-fechado-aureny-lll-1336944927,60 metros quadrados,2 quartos,1 vaga de garagem,,R$ 780,Palmas -  TO
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/alugo-casa-no-maracanau-alto-da-mangueira-bem-localizada-1336944769,,2 quartos,1 vaga de garagem,2 banheiros,R$ 1.200,Maracanaú -  CE
https://pr.olx.com.br/regiao-de-foz-do-iguacu-e-cascavel/imoveis/casa-vila-a-1334488145,500 metros quadrados,3 quartos,3 vagas de garagem,2 banheiros,R$ 3.000,Foz do Iguaçu -  PR
https://ba.olx.com.br/grande-salvador/imoveis/casa-aluguel-1336944584,40 metros quadrados,,,,R$ 500,Salvador -  BA
https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/alugo-casa-2-quartos-1336944553,55 metros quadrados,2 quartos,1 vaga de garagem,,R$ 1.200,Fazenda Rio Grande -  PR
https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/imoveis/casa-para-locacao-na-cidade-jardim-jacarei-sp-3-quartos-1-suite-1-sala-2-vagas-de-gar-1316593306,165 metros quadrados,3 quartos,2 vagas de garagem,,R$ 2.800,Jacareí -  SP
https://es.olx.com.br/sul-do-espirito-santo/imoveis/aluguel-anual-casa-piuma-1336944451,96 metros quadrados,2 quartos,,,R$ 800,Cachoeiro de Itapemirim -  ES
https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/imoveis/imovel-comercial-de-alto-padrao-casa-com-3-quartos-1-suite-160m-e-6-vagas-jacarei-sp-1329392058,160 metros quadrados,3 quartos,5 ou mais vagas de garagem,2 banheiros,R$ 8.500,Jacareí -  SP
https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/alugo-casa-1336944428,100 metros quadrados,2 quartos,1 vaga de garagem,2 banheiros,R$ 1.700,Petrolina -  PE
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/aluga-se-casa-no-tatuape-excelente-oportunidade-1336944361,45 metros quadrados,,1 vaga de garagem,,R$ 1.700,São Paulo -  SP
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/aluga-se-casa-2-quartos-1336944276,,2 quartos,,,R$ 850,Duque de Caxias -  RJ
https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluguel-temporada-reveillon-5-000-reais-10-pessoas-carnaval-7-000-1336944215,,3 quartos,4 vagas de garagem,3 banheiros,R$ 5.000,Conceição da Barra -  ES
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casas-comerciais-para-locacao-em-santo-andre-no-bairro-jardim-do-estadio-1336944190,200 metros quadrados,5 ou mais quartos,1 vaga de garagem,,R$ 3.000,Santo André -  SP
https://pa.olx.com.br/regiao-de-santarem/imoveis/alugo-casa-1335406900,,2 quartos,2 vagas de garagem,3 banheiros,R$ 2.500,Santarém -  PA
https://pe.olx.com.br/grande-recife/imoveis/oferta-boa-viagem-07-qtos-03-wc-s-area-de-lazer-04-vagas-1310880337,420 metros quadrados,5 ou mais quartos,4 vagas de garagem,3 banheiros,R$ 12.000,Recife -  PE
https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/valparaiso-casa-vendo-ou-alugo-duplex-com-3-qtos-garagem-jardim-1336943895,500 metros quadrados,3 quartos,2 vagas de garagem,3 banheiros,R$ 6.000,Petrópolis -  RJ
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/aluga-casa-somente-finalidade-residencial-1336943824,140 metros quadrados,2 quartos,1 vaga de garagem,,R$ 2.000,Osasco -  SP
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/excelente-casa-3-dormitorio-s-em-campeche-florianopolis-1336943784,130 metros quadrados,3 quartos,2 vagas de garagem,2 banheiros,R$ 6.500,Florianópolis -  SC
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/aluga-se-casa-na-zona-leste-proximo-balao-do-pedra-mole-1336942845,,3 quartos,4 vagas de garagem,,R$ 900,São Paulo -  SP
https://sp.olx.com.br/grande-campinas/imoveis/casa-com-2-dormitorios-para-alugar-76-m-por-r-1-638-00-mes-vila-santa-maria-america-1336942839,76 metros quadrados,2 quartos,2 vagas de garagem,2 banheiros,R$ 1.600,Americana -  SP
https://al.olx.com.br/alagoas/imoveis/alugo-esta-casa-no-residencial-cachoeira-2-prox-ao-aeroporto-1336942712,,3 quartos,1 vaga de garagem,,R$ 1.000,Rio Largo -  AL
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-de-alvenaria-no-bairro-praia-joao-rosa-200-00m-1336942576,200 metros quadrados,3 quartos,,2 banheiros,R$ 2.900,Biguaçu -  SC
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-4-quatros-areias-de-baixo-120m-1336942557,120 metros quadrados,4 quartos,,2 banheiros,R$ 1.950,Governador Celso Ramos -  SC
https://df.olx.com.br/distrito-federal-e-regiao/imoveis/aluguel-melhor-casa-no-guara-2-1336941983,200 metros quadrados,5 ou mais quartos,4 vagas de garagem,5 ou mais banheiros,R$ 5.600,Brasília -  DF
https://pe.olx.com.br/grande-recife/imoveis/alugo-casa-na-vila-tamandare-1336941981,200 metros quadrados,2 quartos,,,R$ 400,Recife -  PE
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belissima-casa-em-condominio-de-lagoa-santa-a-venda-por-r-2-500-000-00-1336941702,390 metros quadrados,4 quartos,5 ou mais vagas de garagem,5 ou mais banheiros,R$ 15.000,Lagoa Santa -  MG
https://mt.olx.com.br/regiao-de-cuiaba/imoveis/aluguel-condominio-rio-coxipo-cuiaba-mt-1336941427,89 metros quadrados,3 quartos,2 vagas de garagem,2 banheiros,R$ 3.000,Cuiabá -  MT
https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/imoveis/casa-para-temporada-1336941376,120 metros quadrados,2 quartos,2 vagas de garagem,3 banheiros,R$ 400,São José dos Campos -  SP
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sobrado-com-2-dormitorios-62-m-venda-por-r-450-000-00-ou-aluguel-por-r-2-800-00-mes-1336941302,62 metros quadrados,2 quartos,1 vaga de garagem,2 banheiros,R$ 2.800,São Paulo -  SP
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-em-condominio-4-dormitorios-340m-2-suites-4-vagas-perto-de-sao-paulo-com-qualid-1336941183,340 metros quadrados,4 quartos,4 vagas de garagem,3 banheiros,R$ 8.500,Santana de Parnaíba -  SP
https://am.olx.com.br/regiao-de-manaus/imoveis/aluga-se-casa-duplex-em-excelente-localizacao-1336941160,,2 quartos,1 vaga de garagem,2 banheiros,R$ 1.500,Manaus -  AM
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-com-2-dormitorios-para-alugar-92-m-por-r-1-294-00-mes-centro-nilopolis-rj-1336941143,92 metros quadrados,2 quartos,1 vaga de garagem,2 banheiros,R$ 1.100,Nilópolis -  RJ
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/residencia-alto-padrao-para-locacao-anual-1336038570,605 metros quadrados,4 quartos,4 vagas de garagem,5 ou mais banheiros,R$ 38.000,Camboriú -  SC
https://mt.olx.com.br/regiao-de-cuiaba/imoveis/aluguel-condominio-rio-coxipo-cuiaba-mt-1336940985,89 metros quadrados,3 quartos,2 vagas de garagem,2 banheiros,R$ 4.000,Cuiabá -  MT
https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/sobrado-com-3-dormitorios-para-alugar-120-m-por-r-3-070-mes-sao-lourenco-curitiba-p-1336940973,120 metros quadrados,3 quartos,2 vagas de garagem,2 banheiros,R$ 3.000,Curitiba -  PR
https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/sobrado-com-3-dormitorios-146-m-venda-por-r-750-000-00-ou-aluguel-por-r-3-489-71-mes-1336940959,147 metros quadrados,3 quartos,2 vagas de garagem,3 banheiros,R$ 3.200,Curitiba -  PR
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/oportunidade-casa-para-venda-ou-locacao-na-rua-sao-paulo-no-centro-da-cidade-1336940942,185 metros quadrados,3 quartos,,2 banheiros,R$ 1.800,Fortaleza -  CE
https://es.olx.com.br/norte-do-espirito-santo/imoveis/alugo-casa-na-avenida-vitoria-ao-lado-da-borracharia-so-750-incluso-agua-e-luz-1336940944,,2 quartos,,,R$ 750,Vitória -  ES
https://sp.olx.com.br/baixada-santista-e-litoral-sul/imoveis/otimo-sobrado-dois-dormitorios-em-condominio-fechado-uma-vaga-aviacao-1336940925,56 metros quadrados,2 quartos,1 vaga de garagem,2 banheiros,R$ 1.800,Praia Grande -  SP
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-mobiliada-com-quarto-cozinha-lavanderia-e-gas-encan-1336940746,38 metros quadrados,,,,R$ 1.550,São Paulo -  SP
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-sobrado-1336940650,70 metros quadrados,2 quartos,2 vagas de garagem,2 banheiros,R$ 2.200,São José -  SC
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-com-4-chales-individuais-pecem-1336940560,120 metros quadrados,4 quartos,5 ou mais vagas de garagem,5 ou mais banheiros,R$ 2.500,São Gonçalo do Amarante -  CE
https://ba.olx.com.br/grande-salvador/imoveis/aluga-se-otima-casa-em-itapua-1336940298,90 metros quadrados,3 quartos,,2 banheiros,R$ 1.600,Salvador -  BA
https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/imovel-para-aluguel-tem-100-metros-quadrados-com-2-quartos-1336940240,100 metros quadrados,2 quartos,2 vagas de garagem,,R$ 1.300,Aparecida de Goiânia -  GO
https://sp.olx.com.br/grande-campinas/imoveis/casa-com-3-quartos-a-venda-ou-para-locacao-em-bosque-sp-1336939949,300 metros quadrados,3 quartos,2 vagas de garagem,4 banheiros,R$ 9.800,Vinhedo -  SP
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/aluga-se-barracao-1336939238,,,,2 banheiros,R$ 900,Contagem -  MG
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/casa-na-praia-de-atalaia-com-piscina-1240081659,120 metros quadrados,5 ou mais quartos,5 ou mais vagas de garagem,4 banheiros,R$ 200,Luís Correia -  PI
https://al.olx.com.br/alagoas/imoveis/alugo-ponto-comercial-residencial-proximo-a-feirinha-do-tabuleiro-1334390109,186 metros quadrados,3 quartos,1 vaga de garagem,3 banheiros,R$ 2.400,Maceió -  AL
https://al.olx.com.br/alagoas/imoveis/casa-de-praia-1331936769,360 metros quadrados,3 quartos,4 vagas de garagem,3 banheiros,R$ 350,Marechal Deodoro -  AL
https://al.olx.com.br/alagoas/imoveis/aluguel-por-temporada-em-massagueira-1180159559,,3 quartos,4 vagas de garagem,5 ou mais banheiros,R$ 400,Marechal Deodoro -  AL
https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/imoveis/cassa-terrea-5-dorms-2-suites-6-vagas-cond-mirante-do-vale-espaco-gourmet-1336939220,270 metros quadrados,5 ou mais quartos,4 vagas de garagem,4 banheiros,R$ 9.890,Jacareí -  SP
https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/imoveis/belissima-casa-em-condominio-fechado-seu-descanso-na-regiao-privilegiado-de-sjc-1336939158,270 metros quadrados,5 ou mais quartos,4 vagas de garagem,4 banheiros,R$ 10.000,Jacareí -  SP
https://sp.olx.com.br/grande-campinas/imoveis/casa-locacao-3-suites-4-vagas-225m-r-8-000-betel-paulinia-sp-1336939154,225 metros quadrados,3 quartos,4 vagas de garagem,5 ou mais banheiros,R$ 8.000,Paulínia -  SP
https://sp.olx.com.br/grande-campinas/imoveis/casa-sobrado-3-dormitorios-1-suite-nova-campinas-por-r-6000-00-mensais-1336939041,214 metros quadrados,4 quartos,4 vagas de garagem,4 banheiros,R$ 6.001,Campinas -  SP
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alugo-casa-em-condominio-fechado-vargem-pequena-1336939020,155 metros quadrados,3 quartos,3 vagas de garagem,4 banheiros,R$ 3.600,Rio de Janeiro -  RJ
https://ba.olx.com.br/grande-salvador/imoveis/casa-em-abrantes-1336939015,2100 metros quadrados,4 quartos,4 vagas de garagem,4 banheiros,R$ 3.900,Camaçari -  BA
https://sp.olx.com.br/grande-campinas/imoveis/casa-de-alto-padrao-para-locacao-no-condominio-alphaville-campinas-630m-de-area-util-e-1336939004,630 metros quadrados,4 quartos,5 ou mais vagas de garagem,5 ou mais banheiros,R$ 29.000,Campinas -  SP
https://am.olx.com.br/regiao-de-manaus/imoveis/casa-terrea-com-5-qtos-em-condominio-fechado-1336938919,350 metros quadrados,5 ou mais quartos,4 vagas de garagem,4 banheiros,R$ 4.800,Manaus -  AM
https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-locacao-bairro-santa-monica-1336938857,50 metros quadrados,2 quartos,1 vaga de garagem,,R$ 800,Uberlândia -  MG
https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-para-locacao-no-bairro-presidente-roosevelt-1336938823,140 metros quadrados,3 quartos,2 vagas de garagem,,R$ 1.600,Uberlândia -  MG
https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-locacao-e-venda-no-bairro-osvaldo-rezende-1336938825,189 metros quadrados,3 quartos,2 vagas de garagem,,R$ 2.250,Uberlândia -  MG
https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/sobrado-para-locacao-no-bairro-martins-1336938822,60 metros quadrados,2 quartos,,,R$ 1.200,Uberlândia -  MG
https://ba.olx.com.br/grande-salvador/imoveis/aluguel-arembepe-1336938760,280 metros quadrados,3 quartos,2 vagas de garagem,3 banheiros,R$ 900,Camaçari -  BA
https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/jardins-do-sul-linda-casa-com-03-dormitorios-1336938746,200 metros quadrados,3 quartos,2 vagas de garagem,3 banheiros,R$ 3.500,Bauru -  SP
https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-locacao-no-bairro-jardim-europa-1336938743,80 metros quadrados,2 quartos,1 vaga de garagem,,R$ 1.700,Uberlândia -  MG
https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-locacao-no-bairro-santa-monica-1336938721,80 metros quadrados,3 quartos,1 vaga de garagem,,R$ 1.700,Uberlândia -  MG
https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-para-locacao-e-venda-no-bairro-alto-umuarama-1336938689,120 metros quadrados,2 quartos,2 vagas de garagem,,R$ 2.800,Uberlândia -  MG
https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/imoveis/meu-imovel-aluga-casa-residencial-ou-comercial-com-4-dormitorios-sendo-2-suites-1336938685,250 metros quadrados,4 quartos,3 vagas de garagem,4 banheiros,R$ 4.300,Taubaté -  SP
https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/linda-casa-prox-a-servimed-com-3-dormitorios-1336938679,140 metros quadrados,3 quartos,3 vagas de garagem,2 banheiros,R$ 2.900,Bauru -  SP
https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-residencia-em-jau-1336938646,220 metros quadrados,4 quartos,3 vagas de garagem,2 banheiros,R$ 1.500,Jaú -  SP
